               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088581,            0.029666,            0.033568,             0.14095,             0.24647,             0.16145,            0.045452,            0.063966,            0.026467,            0.022397,             0.00202,             0.00202,             0.08182
                   1,            0.061587,            0.024017,            0.024866,             0.35554,             0.39768,             0.35858,             0.13333,             0.05168,            0.021777,            0.013043,           0.0040464,           0.0040464,            0.063546
                   2,            0.057374,            0.021334,            0.017478,             0.57964,             0.44513,              0.4606,             0.15952,            0.047008,            0.021206,            0.010231,           0.0060584,           0.0060584,            0.045258
                   3,            0.053857,            0.020787,            0.015615,             0.50665,             0.43272,             0.45528,              0.1785,             0.04646,            0.021187,            0.012017,           0.0080454,           0.0080454,            0.026945
                   4,            0.052782,             0.02075,            0.014409,             0.62568,             0.47746,             0.50695,             0.21465,            0.046165,            0.022217,            0.009274,           0.0098586,           0.0098586,           0.0098586
                   5,            0.049562,            0.021078,             0.01433,             0.70987,             0.48433,             0.56004,              0.2502,            0.041916,            0.020928,            0.011345,           0.0098586,           0.0098586,           0.0098586
                   6,            0.047651,            0.020458,            0.012789,             0.70577,             0.61377,             0.64513,             0.28645,            0.042775,            0.020877,           0.0071632,           0.0097798,           0.0097798,           0.0097798
                   7,            0.046358,            0.020373,            0.012267,             0.75312,             0.59759,             0.65386,             0.31069,            0.039108,            0.020274,           0.0070937,            0.009684,            0.009684,            0.009684
                   8,            0.045631,            0.019988,            0.011634,              0.7509,             0.52758,             0.57513,             0.25872,            0.042997,            0.021666,            0.008423,           0.0095717,           0.0095717,           0.0095717
                   9,            0.044793,            0.019798,            0.011194,             0.76355,             0.59905,             0.65439,             0.31009,            0.039208,            0.019681,           0.0062015,           0.0094434,           0.0094434,           0.0094434
                  10,            0.044254,            0.020124,            0.010824,             0.74936,             0.60827,             0.68724,             0.32033,             0.03947,            0.019441,           0.0067935,           0.0092995,           0.0092995,           0.0092995
                  11,             0.04378,            0.020085,           0.0099979,             0.77582,             0.64839,             0.70923,             0.32395,            0.038856,            0.019833,           0.0055817,           0.0091406,           0.0091406,           0.0091406
                  12,            0.043372,            0.019255,           0.0096172,              0.8526,              0.5948,             0.70132,             0.32229,             0.04019,            0.020974,           0.0059916,           0.0089673,           0.0089673,           0.0089673
                  13,             0.04315,              0.0199,            0.009605,             0.80182,             0.66707,             0.71893,             0.34763,             0.03742,            0.019011,           0.0051934,           0.0087804,           0.0087804,           0.0087804
                  14,            0.042577,            0.018974,           0.0089305,             0.73959,             0.68964,             0.70858,             0.34556,            0.038065,            0.019509,           0.0054006,           0.0085805,           0.0085805,           0.0085805
                  15,            0.042665,            0.019039,           0.0092776,             0.82337,               0.639,             0.72271,             0.36453,            0.036457,            0.018724,           0.0056602,           0.0083684,           0.0083684,           0.0083684
                  16,            0.042207,            0.019074,           0.0091578,             0.83999,             0.64447,             0.72284,             0.34772,            0.037805,            0.019772,           0.0051963,            0.008145,            0.008145,            0.008145
                  17,            0.041942,            0.019113,           0.0082783,             0.79069,             0.66445,             0.70093,             0.32108,             0.03864,            0.019364,           0.0054749,           0.0079112,           0.0079112,           0.0079112
                  18,            0.041904,            0.019118,           0.0083311,             0.77706,             0.69739,             0.74467,             0.36487,            0.037924,            0.020127,           0.0049518,           0.0076679,           0.0076679,           0.0076679
                  19,            0.041627,            0.019001,           0.0082511,             0.81815,             0.68675,             0.73942,             0.34807,            0.038328,            0.019792,           0.0048743,            0.007416,            0.007416,            0.007416
                  20,            0.041483,            0.019084,            0.008264,             0.80061,             0.66511,             0.72187,             0.34933,            0.037897,            0.019482,           0.0053882,           0.0071566,           0.0071566,           0.0071566
                  21,            0.040648,            0.018582,           0.0080925,             0.83971,             0.69169,             0.76731,             0.36855,            0.037889,            0.019999,           0.0048278,           0.0068906,           0.0068906,           0.0068906
                  22,            0.040302,            0.018646,           0.0073076,             0.85383,             0.67616,              0.7464,              0.3571,            0.038061,            0.019475,           0.0047733,           0.0066191,           0.0066191,           0.0066191
                  23,            0.040605,            0.018878,           0.0072552,             0.78314,             0.71689,             0.75384,             0.36917,            0.037847,            0.020288,           0.0046235,           0.0063432,           0.0063432,           0.0063432
                  24,             0.03983,            0.018679,           0.0070228,             0.79267,              0.7049,             0.74782,             0.36497,            0.037505,            0.019259,           0.0048982,            0.006064,            0.006064,            0.006064
                  25,            0.039896,            0.018202,           0.0070049,             0.85475,             0.67122,             0.74877,             0.36567,            0.038129,            0.020808,           0.0047749,           0.0057826,           0.0057826,           0.0057826
                  26,            0.039568,            0.018699,           0.0070882,             0.79211,             0.73419,             0.76749,             0.37986,            0.036763,            0.020039,            0.004273,              0.0055,              0.0055,              0.0055
                  27,            0.039529,            0.018975,           0.0070317,             0.82921,             0.70717,             0.76919,             0.37411,            0.036614,            0.019548,           0.0040845,           0.0052174,           0.0052174,           0.0052174
                  28,            0.039309,            0.018219,           0.0066173,             0.82529,             0.68713,             0.73155,             0.34985,            0.037575,            0.019787,           0.0047938,            0.004936,            0.004936,            0.004936
                  29,            0.038762,             0.01848,            0.006232,             0.80264,             0.70547,             0.75928,             0.35443,            0.038088,            0.019961,           0.0045368,           0.0046568,           0.0046568,           0.0046568
                  30,            0.038741,            0.018336,           0.0062559,             0.76635,             0.72562,             0.75332,             0.34266,            0.039263,            0.019888,           0.0046251,           0.0043809,           0.0043809,           0.0043809
                  31,            0.038602,            0.018586,           0.0061414,             0.81083,             0.68035,             0.74957,              0.3483,            0.037961,            0.019865,           0.0043863,           0.0041094,           0.0041094,           0.0041094
                  32,            0.037995,             0.01798,           0.0063912,             0.83215,             0.69309,             0.75813,             0.35033,            0.038115,            0.019841,           0.0043644,           0.0038434,           0.0038434,           0.0038434
                  33,            0.038066,            0.018103,           0.0057599,             0.87232,             0.70994,             0.78154,             0.36707,             0.03835,            0.019806,           0.0039919,            0.003584,            0.003584,            0.003584
                  34,            0.037851,            0.017878,            0.005736,              0.8207,             0.69208,             0.74157,             0.34061,            0.038593,            0.020462,           0.0045118,           0.0033321,           0.0033321,           0.0033321
                  35,            0.037667,            0.017913,           0.0056117,             0.79308,             0.73061,             0.76419,             0.36777,            0.036918,            0.019777,           0.0040642,           0.0030888,           0.0030888,           0.0030888
                  36,            0.037369,            0.017727,           0.0052789,             0.86849,             0.70416,             0.77535,             0.35736,            0.038368,            0.019884,           0.0038343,            0.002855,            0.002855,            0.002855
                  37,            0.036921,            0.017567,            0.005445,             0.82683,             0.73201,             0.77476,              0.3578,            0.038153,            0.020036,           0.0041598,           0.0026316,           0.0026316,           0.0026316
                  38,            0.036502,            0.017784,           0.0051048,             0.83977,             0.72273,             0.78286,             0.37037,             0.03801,            0.019987,           0.0039624,           0.0024195,           0.0024195,           0.0024195
                  39,            0.036754,            0.017726,           0.0046723,             0.86645,             0.70785,             0.78053,             0.37479,            0.037559,            0.019872,           0.0038362,           0.0022196,           0.0022196,           0.0022196
                  40,            0.036155,            0.017434,           0.0052253,             0.84294,             0.69227,             0.76185,             0.34794,            0.039216,            0.020963,            0.004213,           0.0020327,           0.0020327,           0.0020327
                  41,            0.036249,            0.017233,           0.0045891,             0.88736,             0.70588,             0.77584,             0.35932,             0.03854,            0.020313,           0.0039765,           0.0018594,           0.0018594,           0.0018594
                  42,            0.035789,            0.017444,           0.0048307,             0.85806,              0.7127,             0.77344,             0.35753,            0.038158,            0.020083,           0.0042756,           0.0017005,           0.0017005,           0.0017005
                  43,            0.035469,            0.017451,           0.0044289,             0.87127,             0.68091,             0.77403,             0.34724,            0.038592,            0.020479,           0.0038888,           0.0015566,           0.0015566,           0.0015566
                  44,            0.035801,            0.017232,           0.0043534,             0.86885,             0.69844,             0.77464,             0.35851,             0.03849,            0.020022,           0.0037791,           0.0014283,           0.0014283,           0.0014283
                  45,            0.035403,            0.017044,           0.0043277,             0.85679,             0.69954,             0.77153,             0.34809,            0.039268,            0.020523,           0.0043252,            0.001316,            0.001316,            0.001316
                  46,            0.035357,            0.017281,             0.00424,             0.86836,             0.70128,             0.77343,             0.33729,            0.039404,            0.020592,           0.0038565,           0.0012202,           0.0012202,           0.0012202
                  47,            0.035375,            0.017354,           0.0044824,             0.85467,             0.72183,               0.778,             0.34416,            0.039606,            0.021058,           0.0039157,           0.0011414,           0.0011414,           0.0011414
